district,rooftopsNearby,closestRooftop,featuresCount,area
松山區B0892,3,3.5370753071728988e-06,1,1.1971289407330916e-07
松山區B0895,3,1.626550590953704e-06,22,1.631742530445961e-07
松山區B0899,1,2.036223829119854e-06,1,8.98120015733136e-07
松山區B0902,3,3.175017771255379e-06,9,2.5817997273145504e-07
松山區B0915,4,1.290018086992547e-06,17,1.3990140045085306e-07
松山區B0916,0,1.4608214029776866e-05,27,-6.999999789026715
松山區B0926,1,3.5119979199353283e-06,16,1.70175400078183e-07
松山區B0937,4,1.0653038094940338e-06,18,9.20085686575487e-08
松山區B0940,2,2.591639656792364e-07,1,3.6985980386550137e-07
松山區B0943,3,1.8493110227337387e-06,6,-2.999999501747232
松山區B0954,2,4.134620243319852e-06,8,1.3473398370410167e-06
松山區B0966,1,7.02483889359007e-06,2,1.0143101504648774e-07
松山區B0987,3,2.044605614384128e-08,1,1.1994350801110216e-07
松山區B1003,2,4.636089942323607e-06,23,3.974214119011687e-07
松山區B1009,2,1.1625556804650316e-05,17,1.863934253226675e-07
松山區B1070,3,4.4239556276220687e-07,10,2.8313516902108824e-07
松山區B1084,2,9.359848321739417e-07,2,1.0116238443162907e-07
松山區B1085,3,7.198622272157904e-06,6,-0.9999981308551876
松山區B1088,3,1.048385844915727e-06,25,1.8553819131941415e-07
松山區K0850,1,2.2208556150244897e-06,1,5.4336622247027574e-08
