district,rooftopsNearby,closestRooftop,featuresCount,area,CurrentValue 2014,CurrentValue 2015,CurrentValue 2016,CurrentValue 2017,CurrentValue 2018
士林區B0648,1,275.5130170423612,4,741.9693574285623,0,0,0,556000,540000
士林區B0655,1,87.68561530647945,2,1707.2742929437716,0,0,0,705245,762974
士林區B0661,0,487.5640187268817,13,4579.458551095736,0,0,0,3726335,3721365
士林區B0665,0,362.24360735284745,6,2125.774247705107,0,0,0,2589238,2543214
士林區B0693,0,472.4254563315682,15,3311.99270780229,0,0,0,4935000,4860000
士林區B0706,1,33.53935909557996,15,1323.4403569945925,0,0,0,4429776,4369776
士林區B0724,0,448.8764485954306,18,2586.6106423258943,0,0,0,4896000,4878000
士林區B0729,1,135.76752447275868,1,1566.1892529173922,0,0,0,350000,340000
士林區B0737,0,434.8329314469497,9,929.61056937476,0,0,0,3690000,410000
士林區B0748,0,519.7915387426052,19,2686.7462787598997,0,0,0,6080000,5909000
士林區B0749,1,295.9833810270137,11,1017.8599570080844,0,0,0,4623450,4659837
士林區B0759,0,515.9130156502506,22,3223.517712735805,0,0,0,8561571,7358856
士林區B0761,0,687.4824705075928,4,564.0366400754035,0,0,0,1316000,1296000
士林區B0764,0,637.6353260438038,20,1897.2274208376239,0,0,0,6620000,6520000
士林區B0777,0,585.9167696713199,17,1617.1345291093357,0,0,0,5059790,4964738
士林區B0799,0,516.9829525964136,25,2556.9736447751466,0,0,0,7052143,7062624
士林區B0800,1,294.4639154565608,32,3360.1019223838566,0,0,0,10974098,10933384
士林區B0803,2,74.09377191406642,3,626.1098718117089,0,0,0,990000,1092000
士林區B0807,0,415.70758858163657,21,2116.485881385977,0,0,0,4410000,4284000
士林區B0810,0,499.6051913672876,13,2175.495014061327,0,0,0,1660191,1647396
士林區B0821,0,570.1487918765871,14,4885.72512213079,0,0,0,6663972,6526953
士林區B0830,2,180.48560474956054,9,5281.247220295302,0,0,0,2691802,2640823
士林區B0855,4,176.34039801176942,14,2706.708401306656,0,0,0,3038000,2982000
士林區B0884,1,263.82081424893533,8,4511.659334871861,0,0,0,2651681,2601520
士林區B0887,2,115.61890748355115,9,1298.9026668033173,0,0,0,2802762,338032
士林區B0889,1,263.2468402213126,14,5423.310273150521,0,0,0,4900000,4760000
士林區B0890,0,406.7374561287278,5,2849.320185242953,0,0,0,2677779,2637668
士林區B0896,0,574.9524807141626,13,4966.406893226429,0,0,0,4277000,4212000
士林區B0907,0,456.6202364432452,11,2305.4816928590226,0,0,0,3619000,3564000
士林區B0921,0,530.7921263431639,13,1329.422273624601,0,0,0,4136143,4162624
士林區B0932,5,107.8765307482315,19,1218.2798460685015,0,0,0,7812383,8265000
士林區B0935,0,540.1774065210138,22,3095.893036347333,0,0,0,2970653,2960223
士林區B0962,1,263.2385205334506,14,5422.388190377204,0,0,0,4550000,4420000
士林區B0971,1,268.1163797025418,29,4077.027056364128,0,0,0,10252522,10053240
士林區B0975,2,53.153878363268355,3,1694.6535239835944,0,0,0,888000,870000
士林區B0994,0,433.1271216628588,1,786.7112078763257,0,0,0,378364,375128
士林區B0998,8,68.61510560092286,2,1833.3763762514689,0,0,0,434000,426000
士林區B1000,2,141.01305945196606,4,1544.2454479742014,0,0,0,636000,624000
士林區B1033,0,644.3068144385696,8,1847.6441548519958,0,0,0,2648000,2608000
士林區B1038,0,650.7909528005972,4,575.3793352409107,0,0,0,1300000,1268000
士林區B1043,1,135.76752447275868,1,1566.1892529173922,0,0,0,350000,340000
士林區B1044,0,314.54959825984815,15,1265.6372734683882,0,0,0,4499076,4529863
士林區B1046,0,609.9986035284157,13,863.7580660698512,0,0,0,4277000,4212000
士林區B1055,0,708.9318973162436,5,1722.563324440043,0,0,0,1111112,1079655
士林區B1056,2,114.60191915563414,33,2094.0263776768047,0,0,0,5247000,5148000
士林區B1071,0,475.12235059562215,1,659.7556926327678,0,0,0,345317,338718
士林區B1074,0,655.3002954244159,2,678.8635554649593,0,0,0,188000,366000
士林區B800,2,53.153878363268355,3,1694.6535239835944,0,0,0,888000,870000
大同區B0639,1,240.55691557160844,35,3885.995893219549,0,0,0,5320000,5285000
大同區B0657,0,509.2312240010678,35,2810.810826749813,0,0,0,9120815,9065352
大同區B0688,0,348.8232934717526,24,2508.950767395249,0,0,0,8368540,8320540
大同區B0690,0,660.0336856922429,71,5270.703300293789,0,0,0,18230019,18139201
大同區B0694,0,394.104234676597,6,650.8844511203033,0,0,0,2567718,2560746
大同區B0709,1,149.23685909689584,19,1766.4739383707522,0,0,0,2576000,2560000
大同區B0710,1,193.21797603318703,45,2539.7285271734913,0,0,0,10140182,10082914
大同區B0754,0,720.9494994570309,7,700.4706535914377,0,0,0,1851685,1847326
大同區B0757,0,351.38098843221064,32,2721.845198834248,0,0,0,6048000,6048000
大同區B0776,0,627.3317705966707,23,1402.0369751229364,0,0,0,5672876,5641629
大同區B0786,0,519.3318916527222,13,805.3658296160339,0,0,0,9310387,9265013
大同區B0792,0,520.390825160359,73,4152.247540711537,0,0,0,15556149,15463853
大同區B0816,0,357.19923601746734,13,1128.7465908989907,0,0,0,5454654,5434999
大同區B0818,0,461.8861550246885,52,2366.71524804627,0,0,0,12121886,12040073
大同區B0842,0,322.45905944600275,43,3584.60563389044,0,0,0,11682782,11624357
大同區B0862,0,391.7025940321514,12,1796.1730199962922,0,0,0,3134950,3121385
大同區B0870,0,379.4368065388953,5,671.5787480832279,0,0,0,1478286,1595000
大同區B0899,0,388.10484518034457,27,3029.6110935319102,0,0,0,9975329,9918587
大同區B0949,1,201.0229414990317,34,3295.812877091635,0,0,0,5168000,5134000
大同區B0985,1,286.9668032392642,32,1607.008475501692,0,0,0,14291594,14259680
大同區B0990,0,464.8045118413771,22,1426.0632006344395,0,0,0,6391434,6355392
大同區B1011,0,348.81549111754384,20,2189.205767044996,0,0,0,6429034,6391034
大同區B1015,0,390.9147346417316,17,958.9122638108548,0,0,0,13840682,13774691
大同區B1029,0,388.10484518034457,27,3029.6110935319102,0,0,0,9975329,9918587
大同區B1062,0,380.1542041384044,12,856.3549417228346,0,0,0,9689702,9658026
大同區B1081,0,396.89609667290887,38,2462.481123978709,0,0,0,12695901,12612862
大同區B1104,0,390.80386609779436,19,1078.0609433633608,0,0,0,14370976,14301544
大安區B0492,1,176.79391183519246,12,2346.7653737560004,0,0,0,8897758,8721507
大安區B0504,0,536.5855382432004,33,3280.602460355257,0,0,0,21443951,20787467
大安區B0582,0,314.52670168157687,12,2691.294831235964,0,0,0,5208000,5052000
大安區B0602,1,209.59975218035117,33,977.6330457743112,0,0,0,14817000,15774000
大安區B0610,0,595.6535870996397,19,2805.5020900833692,0,0,0,13932350,13758522
大安區B0636,2,92.67259624308058,16,2818.1698046159245,0,0,0,7223679,6992348
大安區B0638,1,296.67902334565474,15,1742.1380981401685,0,0,0,16747184,16514112
大安區B0651,1,285.32250586619466,9,2411.440895784166,0,0,0,6136985,5947724
大安區B0656,0,308.3667773116434,2,1103.216453101269,0,0,0,1399064,1376373
