district,rooftopsNearby,closestRooftop,featuresCount,area,CurrentValue 2014,CurrentValue 2015,CurrentValue 2016,CurrentValue 2017,CurrentValue 2018,ndvi 2013,greeniness 2013,dmap 2013,ndvi 2014,greeniness 2014,dmap 2014,ndvi 2015,greeniness 2015,dmap 2015,ndvi 2017,greeniness 2017,dmap 2017,ndvi 2016,greeniness 2016,dmap 2016,date,year,e-year
大安區B0923,1,116.31956417103243,1,1203.4073143988455,0,0,0,663371,655371,0.2156517505645752,0.4873825127690837,0.18785595893859866,0.21725867688655853,0.4804603866875015,0.19151759147644046,0.2997014820575714,0.3156867318142594,0.294013112783432,0.2692818939685821,0.2682533759358164,0.18940457701683044,0.2844916880130768,0.2919700538750379,0.24170884490013125,104.4.22,104,2015
大安區B0936,4,120.09952645474787,1,3686.578118726089,0,0,0,713508,691388,0.2515987455844879,0.5257783893462695,0.2278400957584381,0.2528441846370697,0.5200013993516337,0.22815029323101044,0.26224783062934875,0.4229703570678919,0.22384262084960935,0.30901649594306946,0.3857336100939898,0.20957855880260468,0.2856321632862091,0.4043519835809408,0.2167105972766876,104.5.1,104,2015
大安區B0941,1,247.49265779398152,1,4628.426171119336,0,0,0,930728,904147,0.3674790561199188,0.5590829582293538,0.4777666330337525,0.3700655400753021,0.5555939081558877,0.4790027141571045,0.4111248552799225,0.4593511672924878,0.4971779882907867,0.431492418050766,0.3349651328217926,0.4726426899433136,0.4213086366653441,0.39715815005714017,0.4849103391170502,104.5.12,104,2015
大安區B0944,1,247.49265779398152,1,4628.426171119336,0,0,0,930728,904147,0.3674790561199188,0.5590829582293538,0.4777666330337525,0.3700655400753021,0.5555939081558877,0.4790027141571045,0.4111248552799225,0.4593511672924878,0.4971779882907867,0.431492418050766,0.3349651328217926,0.4726426899433136,0.4213086366653441,0.39715815005714017,0.4849103391170502,104.5.21,104,2015
大安區B0948,1,73.72411669853746,8,677.9916838274013,0,0,0,5860000,5744000,0.23409053683280945,0.5427175408727289,0.16121697425842285,0.23471558094024655,0.5401543951302563,0.16140587627887726,0.2313664704561233,0.3031788604613196,0.1614595204591751,0.4666021466255188,0.2538004058119738,0.2544744312763214,0.3489843010902405,0.27848963313664665,0.20796698331832889,104.5.21,104,2015
大安區B0961,1,181.86679588000598,25,2946.877484376275,0,0,0,10600000,10275000,0.2526296079158783,0.3355155444643982,0.1662149876356125,0.2653450667858124,0.32010635072416443,0.16958509385585785,0.3919117450714111,0.28654290178883784,0.3642092645168304,0.2291508316993713,0.2169344870210136,0.21716071665287015,0.31053128838539124,0.2517386944049257,0.2906849980354309,104.6.25,104,2015
大安區B0969,2,71.43098714770207,9,1222.6420656532755,0,0,0,3564000,3456000,0.2768710553646088,0.3476595843925648,0.3144086599349976,0.2763952612876892,0.34380437064160274,0.3092637062072754,0.38988035917282093,0.3011031555379341,0.3634465932846069,0.29204702377319336,0.33666534505679035,0.2388693243265152,0.3409636914730072,0.3188842502973622,0.3011579513549805,104.7.14,104,2015
大安區B0986,3,131.47716661963798,3,1634.644441369929,0,0,0,2339747,2294320,0.1968258023262024,0.3045315670406045,0.18081489205360413,0.2004827708005905,0.3000606385707956,0.1818317472934723,0.36666977405548096,0.12780744921519696,0.3437880575656891,0.2925204634666443,0.15580147864822633,0.1869976967573166,0.3295951187610626,0.14180446393171164,0.26539286971092224,104.9.4,104,2015
大安區B0996,3,52.154760650784254,16,3213.1673636373357,0,0,0,8224000,7968000,0.22687920928001404,0.3074818667350794,0.22429507970809934,0.2346852570772171,0.3009702171327285,0.2271824032068253,0.17590083181858066,0.3476829069197939,0.14784850180149078,0.37218323349952703,0.21326118898243807,0.2658161818981171,0.2740420401096344,0.280472047951116,0.20683234930038447,104.10.23,104,2015
大安區B1001,5,20.4684410241423,15,2251.1509368451407,0,0,0,4241096,4098941,0.16425590217113495,0.3280290132238729,0.17837302386760712,0.16778458654880524,0.3233062014599902,0.17463675141334534,0.14729808270931244,0.29610513795274856,0.14389999210834506,0.16635724902153015,0.3827739813886233,0.1025911346077919,0.1568276584148407,0.33943955967068595,0.12324556708335875,104.11.9,104,2015
大安區B1010,0,446.54591403746247,7,2205.995368478293,0,0,0,3067454,2984636,0.2844042181968689,0.2985726613335821,0.26639923453330994,0.28553304076194763,0.2958859061967955,0.2664645314216614,0.3347668945789337,0.2797560463651841,0.3272897005081177,0.12342748045921326,0.2170207803717611,0.1368635892868042,0.2290971875190735,0.2483884133684726,0.2320766448974609,105.1.6,105,2016
大安區B1012,2,157.5996742006178,6,2584.818106272366,0,0,0,4305536,4339710,0.2646477222442627,0.5235744105231243,0.3231033086776733,0.2690160274505615,0.5157170510996573,0.32443034648895264,0.20618979632854464,0.40492338549805257,0.306257426738739,0.2765515446662903,0.259985540033118,0.29809221625328064,0.24137067794799805,0.3324544627655853,0.30217480659484863,105.1.19,105,2016
大安區B1014,0,538.5806186927813,5,3046.4716770162804,0,0,0,3339450,3307017,0.3756279647350311,0.48219325046062,0.307299941778183,0.378501296043396,0.4759824614595238,0.3086176812648773,0.2517666816711426,0.3734659607715092,0.30010029673576355,0.16394804418087006,0.322328987569093,0.20820020139217374,0.2078573703765869,0.34789747417030115,0.2541502416133881,105.1.15,105,2016
