idx,sec,addr,Address,Lat,Lng
237,文山區,秀明路一段103巷2弄9號,文山區秀明路一段103巷2弄9號,24.9911109,121.566457
238,士林區,後港街50巷6號,士林區後港街50巷6號,25.084359,121.522466
239,士林區,延平北路五段225號,士林區延平北路五段225號,25.0843236,121.5097601
240,北投區,石牌路一段166巷62弄6之1號,北投區石牌路一段166巷62弄6之1號,25.1129551,121.5139946
241,北投區,西安街二段189號,北投區西安街二段189號,25.1196006,121.5109849
242,北投區,大同街202之1號,北投區大同街202之1號,25.137734,121.4992678
243,文山區,興隆路四段165巷37之1號,文山區興隆路四段165巷37之1號,24.9845029,121.563641
244,南港區,昆陽街150之3號,南港區昆陽街150之3號,25.049195,121.5940693
245,文山區,木柵路一段310號,文山區木柵路一段310號,24.9884757,121.5565664
246,士林區,前港街110巷19號,士林區前港街110巷19號,25.084473,121.518534
247,松山區,東興街33號,松山區東興街33號,25.0485518,121.5658919
248,內湖區,文德路220巷5弄9號,內湖區文德路220巷5弄9號,25.0785148,121.5885463
249,中正區,和平西路一段122號,中正區和平西路一段122號,25.0268845,121.5170191
250,大安區,師大路80巷31號,大安區師大路80巷31號,25.023491,121.526981
251,大安區,延吉街130號,大安區延吉街130號,25.0401258,121.5547181
252,松山區,民生東路五段36巷6弄9號,松山區民生東路五段36巷6弄9號,25.0576687,121.5602279
253,中山區,長春路346號,中山區長春路346號,25.0545866,121.541209
254,松山區,敦化北路155巷101之3號,松山區敦化北路155巷101之3號,25.05401,121.551893
255,文山區,興隆路一段161號,文山區興隆路一段161號,25.0015858,121.5426124
256,松山區,敦化南路一段25號,松山區敦化南路一段25號,25.0463841,121.54948
257,大安區,臨江街118巷1弄8號,大安區臨江街118巷1弄8號,25.0301184,121.5535935
258,松山區,南京東路四段133巷5弄18.20號,松山區南京東路四段133巷5弄18.20號,25.0523477,121.5557999
259,中山區,新生北路三段84巷38號,中山區新生北路三段84巷38號,25.0674108,121.5263655
260,中正區,羅斯福路三段128巷19號,中正區羅斯福路三段128巷19號,25.0204039,121.52675
261,士林區,大東路99號,士林區大東路99號,25.091107,121.5253
262,文山區,興隆路三段39號,文山區興隆路三段39號,25.0005129,121.5557403
263,萬華區,西園路一段282巷25號,萬華區西園路一段282巷25號,25.0337722,121.4986856
264,內湖區,文德路101巷3弄1號,內湖區文德路101巷3弄1號,25.0792241,121.5833242
265,大安區,和平東路三段119巷5號,大安區和平東路三段119巷5號,25.0254408,121.5516899
266,松山區,松河街24號,松山區松河街24號,25.0507195,121.5727424
267,文山區,興隆路三段165號,文山區興隆路三段165號,24.996688,121.560152
268,文山區,羅斯福路五段176巷4號,文山區羅斯福路五段176巷4號,25.004261,121.538282
269,文山區,興德路21巷10號,文山區興德路21巷10號,25.0013314,121.5561574
270,大安區,安和路二段80號,大安區安和路二段80號,25.029635,121.550956
271,文山區,興隆路四段58巷16弄2號,文山區興隆路四段58巷16弄2號,24.985665,121.560697
272,大安區,大安路一段84巷2號,大安區大安路一段84巷2號,25.040886,121.5459872
273,北投區,石牌路一段71巷9弄7號,北投區石牌路一段71巷9弄7號,25.1139056,121.5106589
274,南港區,重陽路10號,南港區重陽路10號,25.0592888,121.6102731
275,大安區,辛亥路一段34巷8號,大安區辛亥路一段34巷8號,25.019585,121.5301335
276,信義區,信義路五段150巷342弄46號,信義區信義路五段150巷342弄46號,25.025944,121.571138
277,北投區,致遠二路21號,北投區致遠二路21號,25.1149221,121.511764
278,中山區,新生北路一段106號,中山區新生北路一段106號,25.0494143,121.5282977
279,大安區,市民大道四段18號,大安區市民大道四段18號,25.044668,121.544671
280,中山區,建國北路二段260號,中山區建國北路二段260號,25.0618534,121.5366239
281,文山區,萬寧街24號,文山區萬寧街24號,25.003132,121.56445
282,士林區,文昌路249之1號,士林區文昌路249之1號,25.1006914,121.5204731
283,士林區,小北街22巷12號,士林區小北街22巷12號,25.091145,121.525063
284,士林區,小北街22巷14號,士林區小北街22巷14號,25.091194,121.525102
285,士林區,文林路287號,士林區文林路287號,25.091765,121.526074
286,士林區,中山北路七段141巷8之2號,士林區中山北路七段141巷8之2號,25.1274951,121.5325514
287,北投區,吉利街369巷28號,北投區吉利街369巷28號,25.118363,121.5121322
